id,index,title,description,category
1,10.4.1,向不安全的方向射擊,投射物射越後擋彈坡、護堤或主辦單位在書面賽程簡報中釐定為不安全的方向。注意如參 賽者合理地射擊標靶，但投射物射向不安全方向，不可判取消參賽資格，但可引用賽例2.3修正 賽程。 ,意外走火
2,10.4.2,向3米內的地面射擊,投射物擊中離參賽者3米內地面（射擊設置於3米內的紙靶除外）。因沒有足夠推動投射 物氣體而導致投射物擊落於離參賽者3米內地面的情况豁免引用此賽例。,意外走火
4,10.4.3,上匣，換匣，卸匣時走火,鎗枝上匣，換匣，卸匣時射出投射物。此情況包括任何於賽例8.3.1至8.3.7所列出動作中 發生的響鎗(亦見賽例10.5.10)。 ,意外走火
5,10.4.4,維修時走火,維修故障鎗枝時射出投射物。,意外走火
6,10.4.5,換手時走火,換手持鎗時鎗枝射出投射物。,意外走火
7,10.4.6,移動時走火,移動時鎗枝射出投射物，射擊標靶時除外。,意外走火
8,10.4.7,在不安全距離射擊剛性物料靶,在不安全距離（2米）射擊剛性物料靶(見賽例2.1.3)。 ,意外走火
9,10.5.2,槍口指向超過180度,鎗口指向超過賽程容許或指定的安全射擊角度，(有限制的豁免:見賽例 2.1.2.1， 5.2.7.3 及 10.5.7)。 ,不安全使用鎗枝
11,10.5.3,掉鎗,參賽者在賽程進行中任何時間掉下鎗枝或導致鎗枝掉下(不論鎗枝有否入匣)。如參賽者因任何理由，在賽程進行中有意識及安全地將鎗枝放於地上或其他牢固物件上不能判取消參賽資格，例如：\n參賽者仍然緊持鎗枝直至鎗枝穩固和安全地放於地上或其他牢固物件上，\n參賽者在任何時間均保持鎗枝在自身1米範圍內(鎗枝在RO監督下放於遠處作開始準備情況除外)，\n不干犯賽例10.5.2規定，\n鎗枝按賽例8.1規定的準備狀態下，\n鎗枝在未有上匣的狀態及滑架於後定位置。,不安全使用鎗枝
12,10.5.4,隧道內拔鎗或Holster,在隧道範圍內拔鎗或將鎗枝放回鎗套。,不安全使用鎗枝
13,10.5.5,槍口指向身體,鎗口在賽程進行中指向身體任何部分。參賽者於拔鎗和把鎗枝放回鎗套時指向身體部分或 依賽例8.3.6.1清空鎗膛，但扣板機的手指明顯移離扳機護環，不可判取消參賽資格。,不安全使用鎗枝
